Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth,Purchase Url
Above-Ground-Level,Beech,11.5,5.0,-3.0,2.0,21.9,1.8,1.3,1.6,https://infinitediscs.com/Above-Ground-Level-Beech?tag=3c8c6529
Above-Ground-Level,Cedar,11.0,4.9,0.0,3.1,21.5,1.7,1.1,2.2,https://infinitediscs.com/Above-Ground-Level-Cedar?tag=3c8c6529
Above-Ground-Level,Cypress,12.0,4.8,-1.5,2.2,21.2,1.5,1.1,2.2,https://infinitediscs.com/Above-Ground-Level-Cypress?tag=3c8c6529
Above-Ground-Level,Locust,9.0,4.0,-1.0,3.0,21.2,1.6,1.1,2.0,https://infinitediscs.com/Above-Ground-Level-Locust?tag=3c8c6529
Above-Ground-Level,Sycamore,7.0,4.9,0.0,1.0,21.2,2.2,1.3,1.7,https://infinitediscs.com/Above-Ground-Level-Sycamore?tag=3c8c6529
Above-Ground-Level,Magnolia,5.0,4.1,0.0,1.9,21.8,2.0,1.2,1.4,https://infinitediscs.com/Above-Ground-Level-Magnolia?tag=3c8c6529
Above-Ground-Level,Baobab,4.0,1.0,1.0,3.0,21.3,1.7,1.3,1.1,https://infinitediscs.com/Above-Ground-Level-Baobab?tag=3c8c6529
Above-Ground-Level,Madrone,3.0,3.0,0.0,1.1,21.0,2.2,1.7,1.0,https://infinitediscs.com/Above-Ground-Level-Madrone?tag=3c8c6529
Above-Ground-Level,Manzanita,2.9,2.8,0.0,1.9,21.0,1.1,1.6,1.1,https://infinitediscs.com/Above-Ground-Level-Manzanita?tag=3c8c6529
Above-Ground-Level,Ponderosa,2.0,4.0,-1.1,0.0,21.1,2.1,1.5,1.0,https://infinitediscs.com/Above-Ground-Level-Ponderosa?tag=3c8c6529
Alfa-Discs,Apollo,5.0,5.0,0.4,1.0,21.8,1.8,1.3,1.3,https://infinitediscs.com/Alfa-Discs-Apollo?tag=3c8c6529
AquaFlight,Osprey,12.0,4.0,-1.0,2.0,21.0,1.6,1.2,2.3,https://infinitediscs.com/AquaFlight-Osprey?tag=3c8c6529
AquaFlight,Pelican,6.0,5.0,-3.0,1.0,21.1,2.0,1.2,1.7,https://infinitediscs.com/AquaFlight-Pelican?tag=3c8c6529
AquaFlight,Swift,8.4,5.0,-2.6,1.1,21.0,1.6,1.1,1.9,https://infinitediscs.com/AquaFlight-Swift?tag=3c8c6529
AquaFlight,Dragonfly,5.0,4.0,-3.0,1.0,21.0,1.6,1.1,1.4,https://infinitediscs.com/AquaFlight-Dragonfly?tag=3c8c6529
AquaFlight,Peace Frog,3.0,3.0,0.0,1.0,21.0,2.2,1.6,1.0,https://infinitediscs.com/AquaFlight-Peace-Frog?tag=3c8c6529
Axiom,Defy,11.2,4.2,-0.2,3.0,21.1,1.5,1.1,2.2,https://infinitediscs.com/Axiom-Defy?tag=3c8c6529
Axiom,Delirium,14.4,4.9,-0.5,3.0,21.1,1.8,1.2,2.5,https://infinitediscs.com/Axiom-Delirium?tag=3c8c6529
Axiom,Excite,14.0,5.3,-2.2,2.0,21.1,2.1,1.2,2.5,https://infinitediscs.com/Axiom-Excite?tag=3c8c6529
Axiom,Fireball,9.7,3.0,-0.1,3.7,21.0,1.4,1.1,2.0,https://infinitediscs.com/Axiom-Fireball?tag=3c8c6529
Axiom,Mayhem,13.0,5.0,-1.6,2.0,21.1,1.9,1.2,2.4,https://infinitediscs.com/Axiom-Mayhem?tag=3c8c6529
Axiom,Panic,13.0,4.2,-0.4,3.1,21.1,1.7,1.2,2.3,https://infinitediscs.com/Axiom-Panic?tag=3c8c6529
Axiom,Tantrum,14.0,5.0,-1.5,2.6,21.1,1.9,1.2,2.5,https://infinitediscs.com/Axiom-Tantrum?tag=3c8c6529
Axiom,Tenacity,13.0,5.0,-2.5,2.0,21.1,1.9,1.2,2.4,https://infinitediscs.com/Axiom-Tenacity?tag=3c8c6529
Axiom,Thrill,11.0,3.9,0.0,3.1,21.1,1.5,1.1,2.2,https://infinitediscs.com/Axiom-Thrill?tag=3c8c6529
Axiom,Vanish,11.5,5.0,-2.7,1.9,21.1,1.5,1.1,2.2,https://infinitediscs.com/Axiom-Vanish?tag=3c8c6529
Axiom,Virus,9.6,5.0,-3.4,1.0,21.1,1.4,1.2,2.0,https://infinitediscs.com/Axiom-Virus?tag=3c8c6529
Axiom,Clash,7.0,4.5,-0.9,2.5,21.1,1.4,1.1,1.8,https://infinitediscs.com/Axiom-Clash?tag=3c8c6529
Axiom,Crave,6.6,5.0,-0.9,1.2,21.1,1.4,1.2,1.8,https://infinitediscs.com/Axiom-Crave?tag=3c8c6529
Axiom,Insanity,9.8,4.9,-2.0,1.4,21.1,1.4,1.2,2.0,https://infinitediscs.com/Axiom-Insanity?tag=3c8c6529
Axiom,Inspire,6.5,4.5,-1.8,1.6,21.1,1.5,1.2,1.8,https://infinitediscs.com/Axiom-Inspire?tag=3c8c6529
Axiom,Rhythm,1.0,1.0,0.0,0.0,21.2,1.5,1.2,1.8,https://infinitediscs.com/Axiom-Rhythm?tag=3c8c6529
Axiom,Wrath,10.1,4.3,-0.9,2.1,21.0,1.4,1.2,2.0,https://infinitediscs.com/Axiom-Wrath?tag=3c8c6529
Axiom,Alias,4.2,4.2,-0.9,1.0,21.5,1.9,1.2,1.2,https://infinitediscs.com/Axiom-Alias?tag=3c8c6529
Axiom,Hex,5.0,5.0,-0.8,1.0,21.4,1.6,1.3,1.4,https://infinitediscs.com/Axiom-Hex?tag=3c8c6529
Axiom,Paradox,5.0,4.0,-3.7,0.0,21.5,1.8,1.3,1.3,https://infinitediscs.com/Axiom-Paradox?tag=3c8c6529
Axiom,Pyro,5.1,3.8,0.0,2.7,21.5,1.6,1.3,1.6,https://infinitediscs.com/Axiom-Pyro?tag=3c8c6529
Axiom,Theory,4.6,4.6,-1.8,0.7,21.5,1.9,1.3,1.2,https://infinitediscs.com/Axiom-Theory?tag=3c8c6529
Axiom,Envy,2.8,3.1,-0.1,1.9,21.0,1.8,1.4,1.1,https://infinitediscs.com/Axiom-Envy?tag=3c8c6529
Axiom,Proxy,3.0,3.2,-0.8,0.6,21.0,1.8,1.5,1.1,https://infinitediscs.com/Axiom-Proxy?tag=3c8c6529
Cheengz,I One,4.9,5.0,0.0,0.0,22.1,2.0,1.4,0.9,https://infinitediscs.com/Cheengz-I-One?tag=3c8c6529
Cheengz,Zingback,2.0,3.0,-0.2,0.0,22.3,2.8,1.7,0.7,https://infinitediscs.com/Cheengz-Zingback?tag=3c8c6529
DGA,Hurricane,12.0,4.8,-0.9,2.3,21.2,1.6,1.2,2.3,https://infinitediscs.com/DGA-Hurricane?tag=3c8c6529
DGA,Hypercane,12.9,4.0,0.0,4.0,21.2,1.6,1.2,2.2,https://infinitediscs.com/DGA-Hypercane?tag=3c8c6529
DGA,Riptide,9.0,4.0,0.0,3.0,21.4,1.7,1.2,2.0,https://infinitediscs.com/DGA-Riptide?tag=3c8c6529
DGA,Rogue,11.0,4.0,-1.0,2.0,21.1,1.7,1.2,2.2,https://infinitediscs.com/DGA-Rogue?tag=3c8c6529
DGA,Sail,10.4,6.2,-3.4,1.0,21.0,1.9,1.1,1.9,https://infinitediscs.com/DGA-Sail?tag=3c8c6529
DGA,Tempest,12.9,5.1,-3.0,2.0,21.1,1.7,1.1,2.3,https://infinitediscs.com/DGA-Tempest?tag=3c8c6529
DGA,Torrent,13.9,5.0,-1.0,2.1,21.0,1.5,1.2,2.4,https://infinitediscs.com/DGA-Torrent?tag=3c8c6529
DGA,Tsunami,9.9,3.1,0.0,3.8,21.2,1.8,1.2,1.9,https://infinitediscs.com/DGA-Tsunami?tag=3c8c6529
DGA,Undertow,10.0,4.1,-1.0,1.1,21.2,1.5,1.2,1.8,https://infinitediscs.com/DGA-Undertow?tag=3c8c6529
DGA,Banzai,8.1,4.1,0.0,2.9,21.4,1.7,1.2,1.9,https://infinitediscs.com/DGA-Banzai?tag=3c8c6529
DGA,Flathead Cyclone,7.0,4.0,-1.0,3.0,21.3,1.8,1.2,1.6,https://infinitediscs.com/DGA-Flathead-Cyclone?tag=3c8c6529
DGA,Hellfire,10.1,3.1,0.0,4.8,21.1,1.6,1.2,2.2,https://infinitediscs.com/DGA-Hellfire?tag=3c8c6529
DGA,Pipeline,8.1,5.0,-0.4,1.9,21.4,1.5,1.1,1.8,https://infinitediscs.com/DGA-Pipeline?tag=3c8c6529
DGA,Aftershock,4.0,3.1,-0.2,2.0,21.5,2.0,1.2,1.3,https://infinitediscs.com/DGA-Aftershock?tag=3c8c6529
DGA,Quake,5.0,3.2,0.0,3.1,21.6,1.7,1.2,1.5,https://infinitediscs.com/DGA-Quake?tag=3c8c6529
DGA,Rift,5.0,4.2,-0.9,1.5,21.6,1.8,1.3,1.5,https://infinitediscs.com/DGA-Rift?tag=3c8c6529
DGA,Shockwave,4.0,2.0,0.0,3.0,21.5,2.2,1.3,1.3,https://infinitediscs.com/DGA-Shockwave?tag=3c8c6529
DGA,Squall,5.9,4.1,-1.0,1.0,21.5,1.8,1.3,1.3,https://infinitediscs.com/DGA-Squall?tag=3c8c6529
DGA,Tremor,6.0,5.0,-3.9,1.0,21.6,1.7,5.1,1.1,https://infinitediscs.com/DGA-Tremor?tag=3c8c6529
DGA,Blowfly I,2.0,2.1,-0.9,1.8,21.5,2.7,1.1,1.5,https://infinitediscs.com/DGA-Blowfly-I?tag=3c8c6529
DGA,Blowfly II,3.0,2.0,-1.0,1.0,21.7,2.3,1.7,1.4,https://infinitediscs.com/DGA-Blowfly-II?tag=3c8c6529
DGA,Blunt Gumbputt,2.0,2.1,0.0,1.9,21.7,2.2,1.9,0.7,https://infinitediscs.com/DGA-Blunt-Gumbputt?tag=3c8c6529
DGA,Breaker,3.8,3.0,0.0,2.9,21.0,1.7,1.2,1.0,https://infinitediscs.com/DGA-Breaker?tag=3c8c6529
DGA,PowerDrive Gumbputt,2.0,2.1,-2.0,1.1,21.7,2.2,1.9,0.7,https://infinitediscs.com/DGA-PowerDrive-Gumbputt?tag=3c8c6529
DGA,Reef,2.0,2.1,-1.1,1.0,21.2,2.1,1.4,0.9,https://infinitediscs.com/DGA-Reef?tag=3c8c6529
DGA,Steady,2.1,3.1,0.0,1.0,21.2,2.0,1.4,1.0,https://infinitediscs.com/DGA-Steady?tag=3c8c6529
DGA,Steady BL,2.0,4.0,0.0,1.9,21.2,2.4,1.5,1.0,https://infinitediscs.com/DGA-Steady-BL?tag=3c8c6529
DGA,Titanic,2.0,2.0,0.0,2.0,21.1,2.2,1.5,1.0,https://infinitediscs.com/DGA-Titanic?tag=3c8c6529
Daredevil,Albatross,14.0,5.3,-1.4,3.6,21.2,1.6,1.1,2.3,https://infinitediscs.com/Daredevil-Albatross?tag=3c8c6529
Daredevil,Big Foot,13.0,4.9,-1.9,2.1,21.1,1.6,1.1,2.5,https://infinitediscs.com/Daredevil-Big-Foot?tag=3c8c6529
Daredevil,Buffalo,9.0,4.0,-1.0,5.0,21.2,1.6,1.2,2.0,https://infinitediscs.com/Daredevil-Buffalo?tag=3c8c6529
